year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1816,7,160,1,-9,160,-9,2093164.00,1970000,1,230,0,0,1,0,3,1,0,5
1816,3,200,0,3,790,0,1.00,.,0,790,1,1,0,0,4,0,1,5
1816,.,200,0,3,420,0,179.00,.,0,-9,1,-9,0,0,5,0,0,5
1817,.,220,0,3,433,0,7819.00,100000,1,200,0,0,0,0,28,0,0,5
1817,.,365,1,1,365,1,650.00,.,0,-9,1,1,0,0,29,0,1,5
1818,10,2,1,3,20,1,84240.00,.,0,200,0,0,0,0,30,0,0,5
1818,12,155,1,-9,155,-9,464568.00,1656300,1,230,0,0,1,0,31,1,1,5
1818,10,200,0,3,2,0,41600.00,.,0,2,1,1,0,0,32,0,0,5
1818,6,200,0,1,750,0,421200.00,.,0,-9,1,-9,0,0,33,0,1,5
1818,.,200,0,2,438,0,16.00,.,0,-9,1,-9,0,0,34,0,0,5
1818,.,640,1,3,671,1,388500.00,.,1,-9,1,-9,0,0,35,0,1,5
1819,2,2,1,3,40,1,186488.00,54477,0,230,0,0,0,0,36,0,0,5
1819,12,100,1,-9,100,-9,660760.00,1400000,1,230,0,0,1,0,37,1,0,5
1819,.,220,0,2,580,0,1.00,.,0,580,1,1,0,0,38,0,0,5
1821,11,42,1,-9,42,-9,48734.00,89000,1,230,0,0,-9,0,39,1,0,5
1821,3,70,1,-9,70,-9,1426757.00,7000000,1,230,0,0,1,0,40,1,0,5
1821,6,100,1,1,101,1,1082207.00,800000,1,230,0,0,0,0,41,0,1,5
1821,7,135,1,-9,135,-9,1559891.00,1929300,1,230,0,0,-9,0,42,1,0,5
1821,11,235,0,3,165,0,269810.00,70000,1,230,0,0,0,0,43,0,0,5
1822,5,100,1,1,130,1,550685.00,600000,1,230,0,0,0,0,44,0,1,5
1822,.,640,1,1,625,1,229471.00,100000,1,-9,1,-9,0,0,45,0,1,5
1824,12,140,1,-9,140,-9,8259504.00,5306418,1,235,0,0,1,0,46,1,0,5
1824,3,200,0,3,830,0,583.00,10000,1,-9,1,1,0,0,47,0,0,5
1824,3,200,0,3,827,0,1658.00,77756,0,210,0,0,0,0,48,0,0,5
1824,3,210,0,3,850,0,25089.00,93875,0,200,0,0,0,0,49,0,0,5
1825,8,145,1,-9,145,-9,3016000.00,1750000,1,230,0,0,1,0,50,1,0,5
1825,12,200,0,2,9993,0,48.00,0,1,-9,1,-9,0,0,51,0,0,5
1825,.,580,1,1,580,1,1.00,.,0,220,0,0,0,0,52,0,0,5
1825,.,616,1,4,616,-9,116348.00,875000,1,640,0,1,-9,0,53,1,0,5
1826,.,200,0,2,561,0,200000.00,.,0,-9,1,-9,0,0,54,0,0,5
1826,2,200,0,1,775,0,169098.00,1222998,0,775,1,1,0,0,55,0,1,5
1826,6,200,0,3,821,0,1.00,.,0,-9,1,-9,0,0,56,0,0,5
1828,12,165,1,4,165,-9,269810.00,70000,1,140,0,1,1,0,57,1,1,5
1828,12,210,0,1,851,0,412781.00,200000,1,-9,1,-9,0,0,58,0,0,5
1828,12,350,1,4,350,-9,39510.00,637700,1,640,0,1,1,0,59,1,1,5
1828,2,365,1,3,630,1,29800.00,.,0,630,1,1,0,0,60,0,1,5
1829,.,200,0,3,413,0,2034.00,2300,1,230,0,0,0,0,61,0,0,5
1829,9,365,1,3,640,1,8580.00,.,0,640,1,1,0,0,62,0,1,5
1829,.,365,1,1,365,1,4680.00,.,0,-9,1,-9,0,0,63,0,1,5
1830,10,211,1,4,211,-9,27407.00,3533538,1,210,0,1,1,0,64,1,1,5
1830,9,220,0,1,615,0,275317.00,73200,0,640,1,1,0,0,65,0,0,5
1830,.,365,1,1,365,1,9360.00,.,0,-9,1,-9,0,0,66,0,1,5
