year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1832,12,100,1,3,130,1,140976.00,276249,0,130,1,1,0,0,67,0,0,5
1833,1,200,0,2,1163,0,11961.00,20,1,160,1,0,0,0,68,0,0,5
1835,.,200,0,2,561,0,1.00,.,0,-9,1,-9,0,0,69,0,0,5
1836,3,7,1,4,7,-9,1010472.00,38000,1,70,0,1,-9,0,70,1,1,5
1839,1,135,1,4,135,-9,1559891.00,1929300,1,145,0,1,1,0,72,1,1,5
1839,1,200,0,2,680,0,207.00,29730,1,-9,1,-9,0,0,73,0,0,5
1839,.,200,0,2,761,0,3016.00,.,0,761,1,1,0,0,74,0,0,5
1839,.,210,0,3,850,0,5560.00,20978000,1,-9,1,-9,0,0,75,0,1,5
1839,4,211,1,3,210,1,2416.00,171572,0,210,1,1,0,0,76,0,0,5
1839,12,211,1,3,212,1,4408.00,176493,0,210,1,1,0,0,77,0,0,5
1840,1,200,0,2,920,0,268676.00,31907,1,-9,1,-9,0,0,78,0,0,5
1840,.,235,0,2,540,0,140000.00,.,0,-9,1,-9,0,0,79,0,0,5
1841,3,220,0,2,581,0,373.00,6888,0,-9,1,-9,0,0,81,0,0,5
1842,8,2,1,3,20,1,18130.00,.,0,200,0,0,0,0,82,0,0,5
1842,8,200,0,3,2,0,12950.00,.,0,2,1,1,0,0,83,0,0,5
1842,8,200,0,3,720,0,75.00,33143,0,710,1,1,0,0,84,0,1,5
1842,5,220,0,2,960,0,1321.00,20200,0,-9,1,-9,0,0,85,0,0,5
1843,2,200,0,2,7693,0,126340.00,1730323,1,7693,1,-9,0,0,87,0,0,5
1843,5,200,0,1,562,0,46620.00,121068,1,562,1,-9,0,0,88,0,1,5
1843,.,210,0,3,850,0,4748.00,.,0,-9,1,-9,0,0,89,0,0,5
1843,6,220,0,3,437,0,6370.00,.,0,-9,1,-9,0,0,90,0,0,5
1843,.,230,0,3,413,0,2034.00,18000,1,200,0,0,0,0,91,0,0,5
1844,.,220,0,1,960,0,1595.00,9000,1,-9,1,-9,0,0,93,0,1,5
1845,3,2,1,2,7,1,1010472.00,35162,1,7,1,-9,0,0,94,0,0,5
1845,.,220,0,3,481,0,66914.00,.,0,-9,1,-9,0,0,95,0,0,5
1846,6,2,1,3,20,1,739652.00,13323,0,200,0,0,0,0,96,0,0,5
1846,6,200,0,3,2,0,429536.00,89000,0,2,1,1,0,0,97,0,0,5
1846,11,300,1,2,2292,1,1158.00,141202,1,2292,1,-9,0,0,98,0,0,5
1847,1,200,0,3,8231,0,91.00,1385,1,835,1,1,0,0,99,0,0,5
1847,.,200,0,1,560,0,1.00,.,0,-9,1,-9,0,0,100,0,1,5
1847,12,220,0,1,615,0,200000.00,.,0,-9,1,-9,0,0,101,0,1,5
1847,10,337,1,2,336,1,1127.00,168198,1,336,1,-9,0,0,102,0,0,5
1848,2,2,1,3,70,1,1370153.00,295574,0,70,1,1,0,0,103,0,1,5
1849,12,200,0,1,.,0,151536.00,9153209,1,-9,1,-9,0,0,105,0,1,5
1849,12,200,0,3,7507,0,259000.00,3000000,1,7507,1,-9,0,0,106,0,0,5
1849,4,220,0,2,438,0,19500.00,.,0,-9,1,-9,0,0,107,0,0,5
1849,12,255,1,5,250,0,1173.00,65574,1,250,1,-9,0,0,108,0,0,5
1850,8,200,0,3,452,0,40.00,40000,0,390,0,0,0,0,109,0,0,5
1851,.,140,1,3,165,1,104000.00,.,0,165,1,1,0,0,110,0,0,5
1851,.,200,0,2,681,0,8.00,.,0,681,1,1,0,0,111,0,0,5
1851,.,210,0,3,850,0,1.00,.,0,235,0,0,0,0,112,0,0,5
1852,12,200,0,1,775,0,83657.00,870180,0,775,1,1,0,0,114,0,1,5
1852,1,563,1,-9,563,-9,286065.00,300000,1,200,0,0,-9,0,115,1,0,5
1853,12,2,1,3,70,1,76768.00,96000,0,70,1,1,0,0,116,0,0,5
1853,12,220,0,1,930,0,16112.00,60000,1,-9,1,-9,0,0,117,0,1,5
1853,.,365,1,2,365,1,66120.00,.,0,-9,1,-9,0,0,118,0,0,5
1854,.,200,0,3,698,0,73.00,350000,1,698,1,1,0,0,120,0,0,5
1854,.,365,1,1,365,1,1820000.00,.,0,-9,1,-9,0,0,121,0,1,5
1854,4,564,1,-9,564,-9,129153.00,245000,1,200,0,0,-9,0,122,1,0,5
1855,.,651,1,4,651,-9,1021081.00,600000,1,640,0,1,-9,0,124,1,0,5
1856,3,640,1,3,365,1,12264.00,.,0,365,1,1,0,0,125,0,1,5
1856,3,640,1,3,365,1,18557.00,.,0,365,1,1,0,0,126,0,1,5
1857,.,200,0,2,9002,0,13.00,400,1,-9,1,-9,0,0,127,0,0,5
1858,.,2,0,2,9750,0,1.00,0,1,-9,1,-9,0,0,128,0,0,5
1858,.,220,0,2,960,0,5.00,0,0,-9,1,-9,0,0,129,0,0,5
1858,.,365,1,1,365,1,520.00,.,0,-9,1,-9,0,0,130,0,1,5
1858,6,365,1,3,710,1,282473.00,40000,0,710,1,1,0,0,131,0,0,5
1859,11,91,1,3,91,1,33701.00,.,0,200,0,0,0,0,133,0,0,5
1859,.,140,1,3,101,1,156000.00,.,0,101,1,1,0,0,134,0,0,5
1859,4,210,0,3,850,0,15850.00,1057800,0,235,0,0,0,0,135,0,0,5
1859,4,235,0,3,860,0,18989.00,850300,1,210,0,0,0,0,136,0,0,5
1859,11,325,1,3,300,1,21595.00,3009505,0,300,1,1,0,0,137,0,1,5
1859,11,365,1,1,365,1,12480.00,.,0,-9,1,-9,0,0,138,0,1,5
1860,1,93,1,3,93,1,21367.00,.,0,200,0,0,0,0,139,0,0,5
1860,10,200,0,3,720,0,6.00,.,0,710,1,1,0,0,140,0,1,5
1860,.,220,0,1,430,0,39000.00,.,0,-9,1,-9,0,0,141,0,1,5
1860,3,220,1,3,325,1,14778.00,.,0,325,1,1,0,0,142,0,0,5
1860,9,230,0,2,605,0,1505.00,.,1,600,1,1,0,0,143,0,0,5
1860,3,325,1,5,332,1,6031.00,598996,1,332,1,-9,0,1,144,0,0,5
1860,3,325,1,5,335,1,6221.00,495840,1,335,1,-9,0,1,145,0,0,5
1860,3,325,1,5,337,1,22163.00,1783279,1,337,1,-9,0,1,146,0,0,5
1860,12,325,1,5,329,1,11950.00,8703130,1,329,1,-9,0,1,147,0,0,5
1860,12,325,1,5,327,1,41445.00,3124668,0,327,1,1,0,1,148,0,0,5
1860,11,365,1,3,710,1,234000.00,.,0,710,1,1,0,0,149,0,0,5
1861,8,200,0,3,4781,0,12950.00,115000,0,-9,1,-9,0,0,152,0,0,5
1861,.,200,0,2,541,0,1.00,.,0,-9,1,-9,0,0,153,0,0,5
1861,.,220,1,2,221,1,2.00,.,0,221,1,1,0,0,154,0,0,5
1861,12,230,0,2,42,0,48734.00,200000,1,42,1,-9,0,0,155,0,0,5
1862,.,200,0,2,692,0,598.00,.,1,692,1,-9,0,0,156,0,0,5
1862,3,220,0,3,522,0,6000.00,22730,0,-9,1,-9,0,0,157,0,0,5
1862,6,220,0,3,8151,0,22380.00,502116,0,815,1,1,0,0,158,0,1,5
1863,.,2,0,2,91,0,5.00,.,0,91,1,1,0,0,159,0,0,5
1863,2,220,0,3,434,0,520.00,20000,0,-9,1,-9,0,0,160,0,0,5
1863,12,220,0,2,811,0,83861.00,1000000,1,811,1,-9,0,0,161,0,0,5
1864,.,220,0,2,930,0,1958.00,15000,0,-9,1,1,0,0,162,0,0,5
1864,10,255,1,3,390,0,1046.00,50147,0,390,1,1,0,0,163,0,1,5
1864,6,255,1,3,390,1,9194.00,409907,0,390,1,1,0,0,164,0,1,5
1864,6,300,1,3,390,0,8534.00,544419,0,390,1,0,0,0,165,0,1,5
1864,6,350,1,3,349,1,2608.00,234123,1,200,0,0,0,0,166,0,0,5
1864,6,365,1,1,365,1,36400.00,.,0,-9,1,-9,0,0,167,0,1,5
1865,12,42,1,-9,42,-9,48734.00,200000,1,230,0,0,1,0,168,1,0,5
1865,11,200,0,2,760,0,8889.00,.,0,760,1,1,0,0,169,0,0,5
1866,12,155,1,3,145,1,42896.00,.,0,145,1,1,0,0,170,0,0,5
1866,8,255,1,1,300,1,8537.00,544419,0,300,1,0,0,0,171,0,1,5
1866,8,255,1,2,254,1,4709.00,457571,1,254,1,-9,0,0,172,0,0,5
1866,8,255,1,2,247,1,101.00,87518,1,247,1,-9,0,0,173,0,0,5
1866,7,255,1,1,240,1,38474.00,1923492,1,240,1,-9,0,0,174,0,0,5
1866,7,255,1,2,273,1,9586.00,745063,1,273,1,-9,0,1,175,0,0,5
1866,7,325,1,3,300,1,25145.00,2458989,0,300,1,1,0,0,176,0,1,5
1867,8,2,0,2,9730,0,5.00,0,1,-9,1,-9,0,0,177,0,0,5
1867,10,2,0,3,3,0,1518775.00,54000,1,365,1,1,0,0,178,0,0,5
1867,.,140,1,3,145,1,162500.00,.,0,145,1,1,0,0,179,0,0,5
1867,12,212,1,4,212,-9,2567.00,203851,1,210,0,0,1,0,180,1,0,5
1867,.,220,0,1,8151,0,33864.00,477000,0,815,1,1,0,0,181,0,1,5
1867,7,255,1,5,257,1,6291.00,295242,1,257,1,-9,0,0,182,0,0,5
1867,7,255,1,5,246,1,192.00,98575,1,246,1,-9,0,0,183,0,0,5
1867,7,255,1,5,270,1,329.00,49482,1,270,1,-9,0,0,184,0,0,5
1867,7,255,1,5,253,1,2725.00,99060,1,253,1,-9,0,0,185,0,0,5
1867,7,255,1,5,248,1,352.00,229941,1,248,1,-9,0,0,186,0,0,5
1867,7,255,1,5,252,1,1577.00,139287,1,252,1,-9,0,0,187,0,0,5
1867,7,255,1,5,268,1,1121.00,58604,1,268,1,-9,0,0,188,0,0,5
1867,7,255,1,5,241,1,2383.00,181824,1,241,1,-9,0,0,189,0,0,5
1867,7,255,1,5,261,1,9407.00,742907,1,261,1,-9,0,0,190,0,0,5
1867,7,255,1,5,244,1,3691.00,282400,1,244,1,-9,0,0,191,0,0,5
1867,7,255,1,5,269,1,14939.00,2337192,1,269,1,-9,0,1,192,0,0,5
1867,7,255,1,5,275,1,8386.00,853315,1,275,1,-9,0,1,193,0,0,5
1867,7,255,1,5,280,1,13442.00,552612,1,280,1,-9,0,1,194,0,0,5
1867,.,800,1,3,811,1,35641.00,.,0,220,0,0,0,0,195,0,0,5
1868,12,200,0,2,570,0,21885.00,127700,1,570,1,-9,0,0,196,0,0,5
1868,6,365,1,1,702,1,156000.00,2000000,1,702,1,-9,0,0,197,0,1,5
1869,.,200,0,2,750,0,1645.00,.,0,-9,1,-9,0,0,198,0,0,5
1869,.,325,0,3,531,0,629.00,1193,0,-9,1,-9,0,0,199,0,0,5
1870,6,140,1,3,150,1,65000.00,.,0,150,1,1,0,0,200,0,1,5
1874,6,160,1,3,150,1,117000.00,.,0,150,1,1,0,0,201,0,1,5
1870,.,220,0,1,615,0,400000.00,.,0,-9,1,-9,0,0,202,0,1,5
1870,10,325,1,5,327,1,11790.00,723161,1,327,1,-9,0,0,203,0,0,5
1871,2,200,0,3,452,0,27534.00,120000,0,210,0,0,0,0,204,0,0,5
1871,10,200,0,2,560,0,46102.00,25477,0,-9,1,-9,0,0,205,0,0,5
1871,12,255,1,3,220,1,14452.00,1549459,0,220,1,1,0,0,206,0,1,5
1871,1,255,1,5,267,1,15311.00,1434970,1,267,1,-9,0,1,207,0,0,5
1871,1,255,1,5,271,1,50526.00,1778479,1,271,1,-9,0,1,208,0,0,5
1871,1,255,1,5,245,1,76073.00,4824421,1,245,1,-9,0,0,209,0,0,5
1871,.,365,1,2,710,1,42900.00,.,0,710,1,1,0,0,210,0,0,5
1871,.,640,1,1,672,1,104338.00,.,1,672,1,-9,0,0,211,0,1,5
1872,10,2,1,3,20,1,.,.,0,200,0,0,0,0,212,0,0,5
1872,.,640,1,2,694,0,11000.00,22500,1,694,1,-9,0,0,213,0,0,5
1872,.,640,1,1,678,1,195000.00,2000000,1,678,1,-9,0,0,214,0,1,5
1873,.,365,1,1,365,1,228800.00,.,0,-9,1,-9,0,0,215,0,1,5
1873,.,365,1,1,703,1,92463.00,110000,1,703,1,-9,0,0,216,0,1,5
1873,.,740,0,2,740,0,104.00,.,0,-9,1,-9,0,0,217,0,0,5
1874,12,200,0,2,950,0,18272.00,148040,1,950,1,-9,0,0,218,0,0,5
1874,1,200,0,2,821,0,29068.00,.,0,-9,1,-9,0,0,219,0,0,5
1874,3,220,0,1,8151,0,33864.00,477000,0,815,1,1,0,0,220,0,1,5
1874,.,651,1,1,625,1,2658063.00,11000000,1,-9,1,-9,0,0,221,0,1,5
1875,7,235,0,3,541,0,650.00,.,0,200,0,0,0,0,223,0,0,5
1875,12,365,1,3,740,1,32348.00,2358,0,740,1,1,0,0,224,0,0,5
1875,.,640,1,1,673,1,107120.00,.,1,673,1,-9,0,0,225,0,1,5
1875,12,740,1,3,365,1,4973.00,72,0,365,1,1,0,0,226,0,0,5
1876,.,200,0,2,700,0,.,27270,0,700,1,1,0,0,227,0,0,5
1876,1,365,1,1,701,1,728000.00,.,1,701,1,-9,0,0,228,0,1,5
1877,3,200,0,2,565,0,969.00,800,0,-9,1,-9,0,0,229,0,0,5
1877,4,200,0,2,563,0,285363.00,815000,1,563,1,-9,0,0,230,0,0,5
1877,.,200,0,3,9201,0,6.00,.,1,-9,1,-9,0,0,231,0,0,5
1878,.,150,1,3,160,1,1.00,10,0,160,1,1,0,0,232,0,0,5
1878,12,200,0,3,352,0,9251.00,186084,1,640,1,1,0,0,233,0,0,5
1878,.,200,0,1,560,0,1.00,.,0,-9,1,-9,0,0,234,0,1,5
1878,7,300,1,6,346,1,42520.00,862202,1,640,1,1,0,0,235,0,0,5
1878,7,300,1,6,3462,1,20280.00,349970,1,640,1,1,0,0,236,0,0,5
1878,7,300,1,3,339,1,35.00,2000,0,640,1,1,0,0,237,0,1,5
1878,7,345,1,4,345,-9,42994.00,1352522,1,640,0,1,1,0,238,1,1,5
1878,7,345,1,3,640,1,11097.00,222732,0,640,1,1,0,0,239,0,1,5
1878,7,341,1,4,341,-9,4584.00,195585,1,640,0,1,-9,0,240,1,1,5
1878,7,341,1,3,640,1,4610.00,100000,0,640,1,1,0,0,241,0,1,5
1878,7,360,1,4,360,-9,118213.00,5073000,1,640,0,1,1,0,242,1,1,5
1878,7,360,1,3,640,1,15372.00,357000,0,640,1,1,0,0,243,0,1,5
1878,7,365,1,3,360,1,9274.00,127000,0,360,1,1,0,0,245,0,0,5
1878,3,365,1,3,640,1,25769.00,236600,0,640,1,1,0,0,246,0,1,5
1879,.,160,1,1,160,1,669972.00,24000,0,-9,1,-9,0,0,247,0,1,5
1879,12,651,1,1,530,1,468000.00,325000,0,530,1,1,0,0,248,0,1,5
1880,6,220,0,2,960,0,209.00,793,0,-9,1,-9,0,0,249,0,0,5
1880,9,220,0,3,484,0,540000.00,5000000,1,-9,1,-9,0,0,250,0,0,5
1880,11,341,1,3,640,1,520.00,.,0,640,1,1,0,0,251,0,0,5
1880,4,563,1,-9,563,-9,285363.00,815000,1,200,0,0,-9,0,252,1,1,5
1880,11,640,1,3,341,1,1.00,200,0,341,1,1,0,0,253,0,0,5
1881,.,155,1,3,160,1,1.00,.,0,160,1,1,0,0,254,0,0,5
1881,.,160,1,3,155,1,1.00,10,0,155,1,1,0,0,255,0,0,5
1881,.,220,0,2,960,0,1000.00,5469,0,-9,1,-9,0,0,256,0,0,5
1881,5,220,0,1,616,0,116348.00,2100000,1,616,1,-9,0,0,257,0,0,5
1881,7,350,1,3,640,1,13364.00,293000,0,640,1,1,0,0,258,0,0,5
1881,.,365,1,2,365,1,4680.00,.,0,-9,1,-9,0,0,259,0,0,5
1881,2,710,1,3,365,1,42900.00,.,0,365,1,1,0,0,260,0,0,5
1882,9,200,0,1,651,0,1021081.00,6806381,1,651,1,-9,0,0,261,0,0,5
1883,10,155,1,1,135,0,51480.00,20000,0,135,1,1,0,0,262,0,1,5
1883,.,220,0,2,434,0,500.00,.,0,-9,1,-9,0,0,263,0,0,5
1883,8,220,0,2,815,0,90000.00,9000000,1,815,1,-9,0,0,264,0,1,5
1884,4,155,1,1,145,1,50215.00,14000,0,145,1,1,0,0,265,0,1,5
1884,2,200,0,3,563,0,19500.00,.,0,563,1,1,0,0,266,0,0,5
1884,12,200,0,2,562,0,3250.00,.,0,-9,1,-9,0,0,267,0,0,5
1884,11,200,0,1,911,0,234654.00,137500,1,-9,1,-9,0,0,268,0,1,5
1884,12,200,0,1,521,0,192000.00,153800,1,-9,1,-9,0,0,269,0,1,5
1884,12,220,0,1,522,0,16000.00,180000,0,-9,1,-9,0,0,270,0,1,5
1884,4,255,0,1,565,0,822907.00,250000,1,-9,1,-9,0,0,271,0,1,5
1884,7,255,0,1,460,0,41440.00,500000,1,-9,1,-9,0,0,272,0,1,5
1884,11,255,0,1,912,0,240870.00,297000,1,-9,1,-9,0,0,273,0,1,5
1884,7,255,0,1,470,0,336700.00,2600000,1,-9,1,-9,0,0,274,0,1,5
1884,.,530,1,3,530,1,468000.00,.,0,651,0,0,0,0,275,0,0,5
1884,1,625,1,-9,625,-9,2658063.00,11000000,1,200,0,0,-9,0,276,1,0,5
1885,9,200,0,2,571,0,440300.00,44135,1,-9,1,-9,0,0,277,0,0,5
1885,6,200,0,1,4781,0,898000.00,24000000,0,-9,1,-9,0,0,278,0,1,5
1885,9,200,0,2,560,0,133722.00,44135,0,-9,1,-9,0,0,279,0,0,5
1885,12,220,0,3,580,0,250.00,12237,0,580,1,1,0,0,280,0,1,5
1885,.,220,0,3,481,0,200742.00,.,0,-9,1,-9,0,0,281,0,0,5
1885,1,230,0,1,412,0,26017.00,139000,1,-9,1,-9,0,0,282,0,1,5
1885,1,230,0,1,609,0,266000.00,100000,1,-9,1,-9,0,0,283,0,1,5
1885,2,235,0,3,490,0,7298.00,.,0,211,0,0,0,0,284,0,0,5
1885,.,255,0,2,515,0,54222.00,.,1,-9,1,0,0,0,285,0,0,5
1885,.,255,0,2,980,0,388.00,10000,0,-9,1,-9,0,0,286,0,0,5
1885,12,255,0,2,940,0,22000.00,80000,0,-9,1,-9,0,0,287,0,0,5
1885,5,255,0,2,501,0,3120.00,.,0,-9,1,-9,0,0,288,0,0,5
1885,.,325,0,1,531,0,100.00,16000,0,-9,1,-9,0,0,289,0,1,5
1885,.,365,1,2,365,1,175000.00,.,0,-9,1,-9,0,0,290,0,0,5
1886,1,200,0,1,775,0,492000.00,4000000,1,775,1,-9,0,0,291,0,1,5
1886,.,200,0,3,681,0,160000.00,.,1,-9,1,-9,0,0,292,0,0,5
1886,.,220,0,2,581,0,1782.00,47000,0,-9,1,-9,0,0,293,0,0,5
1886,.,235,0,3,541,0,6000.00,.,0,511,1,0,0,0,294,0,0,5
1887,6,200,0,2,560,0,23051.00,160000,0,-9,1,-9,0,0,295,0,0,5
1887,11,200,0,2,935,0,14763.00,.,1,-9,1,-9,0,0,296,0,0,5
1887,.,200,0,2,920,0,52.00,.,0,-9,1,-9,0,0,297,0,0,5
1887,.,200,0,2,781,0,298.00,30000,1,781,1,-9,0,0,298,0,0,5
1887,5,200,0,3,501,0,7020.00,.,0,511,1,1,0,0,299,0,0,5
1887,11,220,0,2,935,0,14763.00,.,1,-9,1,-9,0,0,300,0,0,5
1887,4,220,0,3,9321,0,161.00,.,0,-9,1,-9,0,0,301,0,0,5
1888,9,155,0,2,1151,0,119.00,175,1,-9,1,-9,0,0,303,0,0,5
1888,5,200,0,2,823,0,76024.00,175000,1,-9,1,-9,0,0,304,0,0,5
1888,.,200,0,2,9452,0,155.00,.,1,-9,1,-9,0,0,305,0,0,5
1888,.,200,0,2,835,0,5765.00,45000,1,835,1,-9,0,0,306,0,0,5
1888,12,200,0,1,925,0,241.00,8400,1,-9,1,-9,0,0,307,0,1,5
1888,5,200,0,1,824,0,48250.00,320000,1,-9,1,-9,0,0,308,0,1,5
1888,.,200,0,2,821,0,36192.00,.,0,-9,1,-9,0,0,309,0,0,5
1888,.,220,0,1,430,0,635821.00,.,0,-9,1,-9,0,0,310,0,1,5
1888,2,220,0,3,9321,0,114.00,.,0,-9,1,-9,0,0,311,0,0,5
1888,4,255,0,3,510,0,52000.00,.,0,511,1,1,0,0,312,0,0,5
1888,.,255,0,2,970,0,21.00,.,1,-9,1,-9,0,0,313,0,0,5
1889,9,200,0,2,553,0,119311.00,845547,1,-9,1,-9,0,0,315,0,0,5
1889,.,200,0,2,821,0,7334.00,.,0,821,1,1,0,0,316,0,0,5
1889,.,200,0,3,520,0,10000.00,.,0,511,1,0,0,0,317,0,0,5
1889,.,200,0,3,420,0,11000.00,.,0,-9,1,-9,0,0,318,0,0,5
1889,1,220,0,2,437,0,322463.00,2250000,0,-9,1,-9,0,0,320,0,0,5
1889,3,325,0,1,531,0,247300.00,194579,0,-9,1,-9,0,0,321,0,1,5
1889,8,325,0,1,520,0,259000.00,400000,0,511,1,0,0,0,322,0,1,5
1890,11,200,0,2,501,0,48000.00,.,0,-9,1,-9,0,0,323,0,0,5
1890,6,200,0,2,511,0,2642.00,150000,1,511,1,-9,0,0,324,0,0,5
1890,7,200,0,3,501,0,3120.00,.,0,255,0,0,0,0,325,0,0,5
1890,.,200,0,2,572,0,17363.00,55000,1,572,1,-9,0,0,326,0,0,5
1890,.,200,1,3,761,0,7298.00,30458,1,761,0,-9,0,0,327,0,0,5
1890,.,235,0,2,540,0,468000.00,.,0,-9,1,-9,0,0,328,0,0,5
1890,7,255,1,3,2249,1,2.00,2001,1,200,0,0,0,0,329,0,0,5
1890,.,255,0,3,565,0,18200.00,.,0,200,0,0,0,0,330,0,0,5
1890,.,255,0,2,510,0,130000.00,.,0,-9,1,-9,0,0,331,0,0,5
1891,.,200,0,2,551,0,624107.00,650000,1,-9,1,-9,0,0,332,0,0,5
1891,5,211,0,3,540,0,1.00,.,0,235,0,0,0,0,333,0,0,5
1891,5,235,0,3,490,0,1.00,.,0,211,0,0,0,0,334,0,0,5
1892,.,200,0,2,945,0,956.00,37400,1,-9,1,-9,0,0,335,0,0,5
1892,3,200,0,3,696,0,92100.00,.,1,696,1,-9,0,0,336,0,0,5
1892,.,325,0,3,520,0,10000.00,.,0,200,0,0,0,0,337,0,0,5
1893,11,200,0,3,700,0,104980.00,.,0,700,1,1,0,0,338,0,0,5
1893,.,200,0,2,940,0,21645.00,.,0,-9,1,-9,0,0,339,0,0,5
1893,7,200,0,1,552,0,389362.00,609157,1,-9,1,-9,0,0,340,0,1,5
1893,.,220,0,1,430,0,842400.00,.,0,-9,1,-9,0,0,341,0,1,5
1893,12,220,0,1,812,0,255000.00,600000,1,812,1,-9,0,0,342,0,1,5
1893,1,220,0,2,9970,0,6931.00,0,0,-9,1,-9,0,0,343,0,0,5
1893,11,563,1,3,572,1,17363.00,55000,1,200,0,0,0,0,344,0,0,5
1894,6,200,0,2,500,0,64999.00,.,0,-9,1,-9,0,0,345,0,0,5
1894,9,200,0,2,560,0,10464.00,166080,0,-9,1,-9,0,0,346,0,0,5
1894,8,220,0,3,490,0,1.00,.,0,211,0,0,0,0,347,0,0,5
1894,12,220,0,1,434,0,115760.00,600000,0,-9,1,-9,0,0,348,0,1,5
1894,.,220,0,3,482,0,622984.00,.,1,-9,1,-9,0,0,349,0,0,5
1894,7,325,0,1,625,0,1.00,.,0,-9,1,-9,0,0,350,0,1,5
1895,.,140,1,3,150,1,13000.00,.,0,150,1,1,0,0,351,0,0,5
1895,6,200,0,2,560,0,1560.00,.,0,-9,1,-9,0,0,352,0,0,5
1895,3,365,1,3,711,1,26000.00,.,0,700,1,1,0,0,353,0,0,5
1895,4,740,1,1,713,1,35763.00,2781272,1,710,1,1,0,0,354,0,0,5
1896,8,200,0,1,452,0,100000.00,317964,0,-9,1,-9,0,0,355,0,1,5
1896,6,200,0,2,500,0,19685.00,.,0,-9,1,-9,0,0,356,0,0,5
1896,8,200,0,1,452,0,24484.00,.,0,-9,1,-9,0,0,357,0,1,5
