WarNum,ccode,WarName,WarType,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,total_battle_deaths,iso3c,lng_country,lat_country,lat,lng
112,310,Hungarian Adversaries,1,Hungary,2,4,16,1919,8,4,1919,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,6000,4,11000,HUN,19.39559381,47.16277712,47.738096,22.402331
112,360,Hungarian Adversaries,1,Romania,1,4,16,1919,8,4,1919,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,3000,4,11000,ROU,24.97293286,45.85242939,47.738096,22.402331
115,350,Second Greco-Turkish,1,Greece,2,5,5,1919,10,11,1922,-8,-8,-8,-8,-8,-8,-8,11,1,2,-8,30000,4,50000,GRC,22.95556207,39.07466973,39.0793,29.2699
115,640,Second Greco-Turkish,1,Turkey,1,5,5,1919,10,11,1922,-8,-8,-8,-8,-8,-8,-8,11,2,1,-8,20000,4,50000,TUR,35.16895529,39.06160342,39.0793,29.2699
116,220,Franco-Turkish,1,France,1,11,1,1919,10,20,1921,-8,-8,-8,-8,-8,-8,-8,6,1,3,-8,5000,4,40000,FRA,2.53618475,46.18700581,41.420057,31.742249
116,640,Franco-Turkish,1,Turkey,2,11,1,1919,10,20,1921,-8,-8,-8,-8,-8,-8,-8,6,2,3,-8,35000,4,40000,TUR,35.16895529,39.06160342,41.420057,31.742249
117,290,Lithuanian-Polish,1,Poland,1,7,15,1920,12,1,1920,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,500,4,1000,POL,19.39011841,52.12759537,54.50719,25.114416
117,368,Lithuanian-Polish,1,Lithuania,2,7,15,1920,12,1,1920,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,500,4,1000,LTU,23.88720035,55.32611078,54.50719,25.114416
118,710,Manchurian,1,China,2,8,17,1929,12,3,1929,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,3000,4,3200,CHN,103.81907385,36.56176801,45.8038,126.535
118,365,Manchurian,1,USSR,1,8,17,1929,12,3,1929,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,200,4,3200,RUS,96.68657347,61.98052168,45.8038,126.535
121,710,Second Sino-Japanese,1,China,2,12,19,1931,5,22,1933,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,50000,4,60000,CHN,103.81907385,36.56176801,45.8038,126.535
121,740,Second Sino-Japanese,1,Japan,1,12,19,1931,5,22,1933,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,10000,4,60000,JPN,138.03089212,37.59230065,45.8038,126.535
124,150,Chaco,1,Paraguay,1,6,15,1932,6,12,1935,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,36000,4,92661,PRY,-58.40014084,-23.22823896,-23,-60
124,145,Chaco,1,Bolivia,2,6,15,1932,6,12,1935,-8,-8,-8,-8,-8,-8,-8,1,1,2,-8,56661,4,92661,BOL,-64.6853892,-16.70814536,-23,-60
125,670,Saudi-Yemeni,1,Saudi Arabia,1,3,20,1934,5,13,1934,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,100,4,2100,SAU,44.53687041,24.12245467,17.3755,44.5422
125,678,Saudi-Yemeni,1,Yemen Arab Republic,2,3,20,1934,5,13,1934,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,2000,4,2100,NA,NA,NA,17.3755,44.5422
127,530,Conquest of Ethiopia,1,Ethiopia,2,10,3,1935,5,9,1936,-8,-8,-8,-8,-8,-8,-8,4,2,2,-8,16000,4,20000,ETH,39.6008014,8.62278417,7.05,45.4
127,325,Conquest of Ethiopia,1,Italy,1,10,3,1935,5,9,1936,-8,-8,-8,-8,-8,-8,-8,4,1,1,-8,4000,4,20000,ITA,12.07000946,42.79663568,7.05,45.4
130,710,Third Sino-Japanese,1,China,2,7,7,1937,12,6,1941,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,750000,4,1000000,CHN,103.81907385,36.56176801,38.972156,117.70421
130,740,Third Sino-Japanese,1,Japan,1,7,7,1937,12,6,1941,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,250000,4,1000000,JPN,138.03089212,37.59230065,38.972156,117.70421
133,740,Changkufeng,1,Japan,1,7,29,1938,8,11,1938,-8,-8,-8,-8,-8,-8,-8,7,1,2,-8,526,4,1726,JPN,138.03089212,37.59230065,42.445126,130.631813
133,365,Changkufeng,1,USSR,2,7,29,1938,8,11,1938,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,1200,4,1726,RUS,96.68657347,61.98052168,42.445126,130.631813
136,365,Nomonhan,1,USSR,1,5,11,1939,9,16,1939,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,5000,4,28000,RUS,96.68657347,61.98052168,47.72182,118.769816
136,712,Nomonhan,1,Mongolia,1,5,11,1939,9,16,1939,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,3000,4,28000,MNG,103.05299651,46.82681435,47.72182,118.769816
136,740,Nomonhan,1,Japan,2,5,11,1939,9,16,1939,-8,-8,-8,-8,-8,-8,-8,7,1,2,-8,20000,4,28000,JPN,138.03089212,37.59230065,47.72182,118.769816
139,2,World War II,1,United States of America,1,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,19,2,1,-8,405400,4,13365088.567476002,USA,-112.46167057,45.67955203,52.518553,14.614435
139,220,World War II,1,France,1,9,3,1939,6,22,1940,10,23,1944,8,14,1945,-8,2,2,1,-8,210824,4,13365088.567476002,FRA,2.53618475,46.18700581,52.518553,14.614435
139,310,World War II,1,Hungary,2,6,27,1941,1,20,1945,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,136000,4,13365088.567476002,HUN,19.39559381,47.16277712,52.518553,14.614435
139,345,World War II,1,Yugoslavia,1,4,6,1941,4,17,1941,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,305000,4,13365088.567476002,NA,NA,NA,52.518553,14.614435
139,355,World War II,1,Bulgaria,1,9,9,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4,13365088.567476002,BGR,25.21552327,42.76889988,52.518553,14.614435
139,255,World War II,1,Germany,2,9,1,1939,5,7,1945,-8,-8,-8,-8,-8,-8,-8,14,1,2,-8,3500000,4,13365088.567476002,DEU,10.38577693,51.10697903,52.518553,14.614435
99999900,712,World War II in Asia (approx),1,Mongolia,1,8,10,1945,8,14,1945,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,3000,4,3269818.432523998,MNG,103.05299651,46.82681435,14.62,121.11
