WarNum,ccode,WarName,WarType,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,total_battle_deaths,iso3c,lng_country,lat_country,lat,lng
58,255,Franco-Prussian,1,Germany,1,7,19,1870,2,26,1871,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,44781,4,204313,DEU,10.38577693,51.10697903,49.0463,7.81941
58,220,Franco-Prussian,1,France,2,7,19,1870,2,26,1871,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,152000,4,204313,FRA,2.53618475,46.18700581,49.0463,7.81941
58,267,Franco-Prussian,1,Baden,1,7,19,1870,11,22,1870,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,956,4,204313,NA,NA,NA,49.0463,7.81941
58,245,Franco-Prussian,1,Bavaria,1,7,19,1870,11,15,1870,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,5600,4,204313,NA,NA,NA,49.0463,7.81941
60,92,First Central American,1,El Salvador,2,3,27,1876,4,25,1876,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,2000,4,4000,SLV,-88.87164456,13.73944008,14.1462,-89.709
60,90,First Central American,1,Guatemala,1,3,27,1876,4,25,1876,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,2000,4,4000,GTM,-90.36482288,15.69404158,14.1462,-89.709
61,365,Second Russo-Turkish,1,Russia,1,4,24,1877,1,31,1878,-8,-8,-8,-8,-8,-8,373,11,1,1,-8,120000,4,285000,RUS,96.68657347,61.98052168,41.8101,21.0937
61,640,Second Russo-Turkish,1,Turkey,2,4,24,1877,1,31,1878,-8,-8,-8,-8,-8,-8,373,11,2,2,-8,165000,4,285000,TUR,35.16895529,39.06160342,41.8101,21.0937
64,135,War of the Pacific,1,Peru,2,4,5,1879,10,23,1883,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,9672,4,13868,PER,-74.38242889,-9.15280281,-20.3063,-68.7092
64,145,War of the Pacific,1,Bolivia,2,2,14,1879,12,11,1883,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,920,4,13868,BOL,-64.6853892,-16.70814536,-20.3063,-68.7092
64,155,War of the Pacific,1,Chile,1,2,14,1879,12,11,1883,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,3276,4,13868,CHL,-71.38255879,-37.73069754,-20.3063,-68.7092
65,651,Conquest of Egypt,1,Egypt,2,7,11,1882,9,15,1882,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,10000,4,10079,EGY,29.8618993,26.49593108,26.4943,29.872
65,200,Conquest of Egypt,1,United Kingdom,1,7,11,1882,9,15,1882,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,79,4,10079,GBR,-2.86563362,54.12387156,26.4943,29.872
67,710,Sino-French,1,China,2,6,15,1884,6,9,1885,-8,-8,-8,-8,-8,-8,385,7,2,2,-8,10000,4,12100,CHN,103.81907385,36.56176801,39.9042,116.407
67,220,Sino-French,1,France,1,6,15,1884,6,9,1885,-8,-8,-8,-8,-8,-8,385,7,1,1,-8,2100,4,12100,FRA,2.53618475,46.18700581,39.9042,116.407
70,90,Second Central American,1,Guatemala,2,3,28,1885,4,15,1885,-8,-8,-8,-8,-8,-8,-8,1,1,2,-8,800,4,1000,GTM,-90.36482288,15.69404158,14.1462,-89.709
