ccode,WarNum,DispNum,WarName,StartYear1,StateName,lat,lng
220,1,89,Franco-Spanish War,1823,France,,
230,1,89,Franco-Spanish War,1823,Spain,,
365,4,189,First Russo-Turkish,1828,Russia,,
640,4,189,First Russo-Turkish,1828,Ottoman Empire,,
2,7,1552,Mexican-American,1846,United States of America,,
70,7,1552,Mexican-American,1846,Mexico,,
300,10,19,Austro-Sardinian,1848,Austria,,
325,10,19,Austro-Sardinian,1848,Italy,,
332,10,19,Austro-Sardinian,1848,Modena,,
337,10,19,Austro-Sardinian,1848,Tuscany,,
255,13,375,First Schleswig-Holstein,1848,Prussia,,
390,13,375,First Schleswig-Holstein,1848,Denmark,,
220,16,175,Roman Republic,1849,France,,
300,16,175,Roman Republic,1849,Austria,,
327,16,175,Roman Republic,1849,Papal States,,
329,16,175,Roman Republic,1849,Two Sicilies,,
140,19,1528,La Plata,1851,Brazil,,
160,19,1528,La Plata,1851,Argentina,,
200,22,57,Crimean,1854,United Kingdom,,
220,22,57,Crimean,1854,France,,
325,22,57,Crimean,1855,Italy,,
365,22,57,Crimean,1853,Russia,,
640,22,57,Crimean,1853,Turkey,,
200,25,8,Anglo-Persian,1856,United Kingdom,,
630,25,8,Anglo-Persian,1856,Iran,,
220,28,115,Italian Unification,1859,France,,
300,28,115,Italian Unification,1859,Austria,,
325,28,115,Italian Unification,1859,Sardinia/Piedmont,,
230,31,1580,First Spanish-Moroccan,1859,Spain,,
600,31,1580,First Spanish-Moroccan,1859,Morocco,,
325,34,112,Italian-Roman,1860,Sardinia/Piedmont,,
327,34,112,Italian-Roman,1860,Papal States,,
325,37,113,Neapolitan,1860,Sardinia/Piedmont,,
329,37,113,Neapolitan,1860,Two Sicilies,,
70,40,135,Franco-Mexican,1862,Mexico,,
220,40,135,Franco-Mexican,1862,France,,
100,43,1519,Ecuadorian-Colombian,1863,Colombia,,
130,43,1519,Ecuadorian-Colombian,1863,Ecuador,,
255,46,261,Second Schleswig-Holstein,1864,Germany,,
